film_title,genre
Вперёд! Глобальное состязание чирлидеров,фильм о спорте комедия
Восточный ветер 3,приключенческий фильм семейный фильм и комедийный фильм
Горькие цветы (фильм),драматический фильм
"Гори, моя звезда",Киноповесть
Горькая жатва (фильм),фильмдрама фильм о любви
Ева хочет спать,комедия
Закусочная на колёсах,боевик комедия
Четыре души койота,мультфильм фэнтези семейный фильм
Гордость и страсть,драма военный приключенческий
Intersexion,документальный биография
Грбавица (фильм),драма
Сотворение любви,драма
Есения,мелодрама
Станция «Сеул»,ужасы  триллер
"Никита Кожемяка (фильм, 2017)",мультфильм фэнтези приключения
По ту сторону океана,приключения фэнтези
Робинзон Крузо: Очень обитаемый остров,комедия приключения семейный
Длинная рука закона,боевик криминальный фильм драма
Мишки против Юденича,комедия
Красная черепаха,притча
Украденные мечты,драма
Поцелуй Мэри Пикфорд,комедия
Ягодка любви,комедия
"Я обвиняю (фильм, 1919)",авангард
"Quo Vadis (фильм, 1924)",драматический фильм немое кино и mwparseroutput tsWikidataredLink abackgroundnonepaddingmwparseroutput tsWikidataredLink aexternalcolorbacolorvarcolorlinkredbamwparseroutput tsWikidataredLink aexternalvisitedcoloracolorvarcolorlinkredvisiteda экранизация романа вд
Эрудиция (фильм),драма военный
Это (фильм),мелодрама комедия
Финансы великого герцога,комедия
"Нибелунги (фильм, 1924)",эпос Эпос
Фермер из Техаса,приключенческий фильм  драма
Новогодняя ночь (фильм),драма
Александр Маленький,драма военный
Электрический дом,комедия
"Михаэль (фильм, 1924)",драма
Последний человек (фильм),драма
Шор и Шоршор,комедия
Шерлок-младший,комедия семейный фильм фэнтези
Шампанское (фильм),комедия
"Чудотворец (фильм, 1922)",комедия
Безрадостный переулок (фильм),драматический фильм и немое кино
Человек с киноаппаратом,документальный фильм
Чашка чая,сатирическая комедия
Шахматная горячка,комедия
Варьете (фильм),драма
Целуй меня снова,комедия
Утреннее солнце сияет,драма
Кабинет восковых фигур (фильм),фильм ужасов драма
