film_title,genre,director,country,year
Я — легенда (фильм),постапокалиптический остросюжетный боевик,Фрэнсис Лоуренс,США,2007
Полярный экспресс,фэнтезийный фильм mwparseroutput tsWikidataredLink abackgroundnonepaddingmwparseroutput tsWikidataredLink aexternalcolorbacolorvarcolorlinkredbamwparseroutput tsWikidataredLink aexternalvisitedcoloracolorvarcolorlinkredvisiteda рождественский фильм вд приключенческий фильм детский фильм экранизация книги вд семейный фильм и мультфильм,Роберт Земекис Я хочу держать тебя за руку Подержанные автомобили Роман с камнем Назад в будущее Кто подставил кролика Роджера Назад в будущее  Назад в будущее  Смерть ей к лицу Форрест Гамп Контакт Что скрывает ложь Изгой Полярный экспресс Беовульф Рождественская история Экипаж Прогулка Союзники Удивительный мир Марвена Ведьмы Пиноккио Тогда Сейчас Потом,США Канада Великобритания,
V — значит вендетта (фильм),боевик фантастический фильм драма антиутопия супергероика,Джеймс Мактиг,США Великобритания Германия,11 декабря 2005 и 16 марта 2006 5
Гарри Поттер и узник Азкабана (фильм),приключенческий фильм фэнтези детективный фильм,Альфонсо Куарон,Великобритания США,2004
Роботы (мультфильм),фантастика комедия драма,Крис Уэдж Карлус Салданья,США,
Сон о стране игрушек,анимация,Артур МельбурнКупер,Великобритания,
Гарри Поттер и Кубок огня (фильм),приключения фэнтези,Майк Ньюэлл,Великобритания США,2005
"Компаньон (фильм, 2025)",фильмтриллер и научнофантастический фильм,mwparseroutput tsWikidataredLink abackgroundnonepaddingmwparseroutput tsWikidataredLink aexternalcolorbacolorvarcolorlinkredbamwparseroutput tsWikidataredLink aexternalvisitedcoloracolorvarcolorlinkredvisiteda Drew Hancock вд,США,2025
Человек-паук 3: Враг в отражении,супергероика боевик научная фантастика драма,Сэм Рэйми,США,2007
Фантастическая четвёрка: Первые шаги,супергероика боевик научная фантастика,Мэтт Шекман,США,2025
Фальшивая Изабелла,детектив,Иштван Бачкаи Лауро,Венгрия,1968
"Фильмы, аспирин и хищники",роудмуви драма,Марселу Гомес Marcelo Gomes,Бразилия,2005
Естественный свет,драматический фильм и военный фильм,Денеш Надь,Германия Венгрия Латвия Франция,2021
Рига (дубль 1),драма,Зигфрид,Латвия Франция,2017
Космонавт (фильм),научная фантастика драма,Николас Алькала,Испания Россия Латвия Литва,9 мая 2013 3
Шоу Мистико,драма  социальная драма мелодрама,Карлус Диегис,Франция Бразилия Португалия,2018
Сны о рыбе (фильм),драма,Кирилл Михановский,Бразилия США,2006
Звёзды Эгера (фильм),драма,Зольтан Варконьи,Венгрия,1968
Чарли и шоколадная фабрика (фильм),музыкальная фантастическая комедия,Тим Бёртон,США Великобритания Австралия,2005
"Преступники (фильм, 2023)",фильмограбление и комедийная драма,Родриго Морено,Аргентина Бразилия Чили Люксембург,2023
Первое искушение Христа,комедийный фильм кинопародия mwparseroutput tsWikidataredLink abackgroundnonepaddingmwparseroutput tsWikidataredLink aexternalcolorbacolorvarcolorlinkredbamwparseroutput tsWikidataredLink aexternalvisitedcoloracolorvarcolorlinkredvisiteda религиозный фильм вд религиозная сатира вд сатирический фильм вд и ЛГБТфильм вд,Rodrigo Van Der Put вд,Бразилия,
"В том году, когда мои родители уехали в отпуск",драма,Кау Амбургер Cao Hamburger,Бразилия,2006
Запретная кухня,комедийный фильм,Фернанду Гроштейн Андради англ,США Бразилия,2019
Бакурау,научнофантастический фильм драматический фильм mwparseroutput tsWikidataredLink abackgroundnonepaddingmwparseroutput tsWikidataredLink aexternalcolorbacolorvarcolorlinkredbamwparseroutput tsWikidataredLink aexternalvisitedcoloracolorvarcolorlinkredvisiteda неовестерн вд и Weird West,Клебер Мендонса Фильо вд,Бразилия Франция,2019
Одна битва за другой,криминальный фильм драматический фильм и фильмтриллер,Пол Томас Андерсон,США,2025
"Я всё ещё здесь (фильм, 2024)",драматический фильм и биографический фильм,Вальтер Саллес,Бразилия,2024 и 7 ноября 2024 1
Мотель Дестино,фильмтриллер,mwparseroutput tsWikidataredLink abackgroundnonepaddingmwparseroutput tsWikidataredLink aexternalcolorbacolorvarcolorlinkredbamwparseroutput tsWikidataredLink aexternalvisitedcoloracolorvarcolorlinkredvisiteda Карим Айнуз вд,Бразилия Франция Германия,2024
Капитан Америка: Дивный новый мир,супергероика боевик научная фантастика приключения параноидальный триллер,Джулиус Она англ,США,2025
Афера в Майами,шпионский фильм и драматический фильм,Оливье Ассаяс,Франция Бразилия Испания Бельгия,2019
"Туннель (фильм, 1987)",мелодрама,Антонио Дрове,Испания Аргентина,1987
"Свидетель (фильм, 1969)",Сатирическая комедия,Петер Бачо,Венгрия,1969
Сезон охоты,семейная комедия,Роджер Аллерс Джилл Калтон Энтони Стаччи,США,
Жёсткая краска,драматический фильм и mwparseroutput tsWikidataredLink abackgroundnonepaddingmwparseroutput tsWikidataredLink aexternalcolorbacolorvarcolorlinkredbamwparseroutput tsWikidataredLink aexternalvisitedcoloracolorvarcolorlinkredvisiteda ЛГБТфильм вд,Филипе Матцембахер вд Марсио Реолон вд,Бразилия,18 февраля 2018 1 13 марта 2018 1 30 марта 2018 1 5 октября 2018 1 15 ноября 2018 1 6 декабря 2018 1 3 января 2019 1 15 мая 2019 1 и 2 августа 2019 1
Апогей (фильм),боевик и спортивный фильм,Джозеф Косински,США,27 июня 2025 1
Грбавица (фильм),драма,Ясмила Жбанич,Босния и Герцеговина Австрия Германия Хорватия,2006 и 6 июля 2006 1
Посейдон (фильм),фильмкатастрофа приключения триллер саспенс,Вольфганг Петерсен,США,2006
Гроза муравьёв,семейная комедия фэнтези саундтрек,Джон А Дэвис,США,
Делай ноги,мелодрама комедия семейный мюзикл,Джордж Миллер,Австралия США,
Нижний город (фильм),драма,Сержио Машадо,Бразилия,2005
Ночь в музее,фэнтези комедия приключения семейный,Шон Леви,США,2006
Возвращение Супермена,супергеройский фильм,Брайан Сингер,США,2006
Трансформеры (фильм),научнофантастический боевик,Майкл Бэй,США,2007
"Беовульф (фильм, 2007)",драма боевик фэнтези,Роберт Земекис Я хочу держать тебя за руку Подержанные автомобили Роман с камнем Назад в будущее Кто подставил кролика Роджера Назад в будущее  Назад в будущее  Смерть ей к лицу Форрест Гамп Контакт Что скрывает ложь Изгой Полярный экспресс Беовульф Рождественская история Экипаж Прогулка Союзники Удивительный мир Марвена Ведьмы Пиноккио Тогда Сейчас Потом,США,2007
Гарри Поттер и Орден Феникса (фильм),приключения фэнтези драма,Дэвид Йейтс,Великобритания США,2007
Последний единорог (мультфильм),фэнтези,Артур Ранкин Жюль Басс,США Великобритания Япония ФРГ,
"300 спартанцев (фильм, 2006)",эпический исторический боевик,Зак Снайдер,США,2006  1
Полёт драконов,фэнтези приключения,Артур Ранкин младший Жуль Басс,США Великобритания Япония,
Виолончелист Госю,фантастика сказка притча,Ёсицугу Танака Мацуэ Симбо Исао Такахата,,
U2 3D,концерт рокмузыка,Кэтрин Оуэнс Марк Пеллингтон,США,2008
Хроники Спайдервика,приключения тёмное фэнтези семейный фильм саундтрек,Марк С Уотерс,США США,2008
The Rolling Stones. Да будет свет,Документальный фильм,Мартин Скорсезе,США,2008
"Слежка (фильм, 2023)",триллер слэшер,Владимир Янковский,Беларусь Россия,2023
Узбечка (фильм),драма военный  фантастика,Акбар Бектурдыев,Узбекистан Беларусь,2022
"Свидетели (фильм, 2018)",Драма Исторический,Константин Фам,Россия Беларусь Чехия Франция Польша Израиль,2018
Сладкое прощание Веры,мелодрама,Александра Бутор,Белоруссия,2015
Хрусталь (фильм),комедийная драма,Дарья Жук,Беларусь Германия Россия США,2018
"
",приключения комедия  романтика сёдзё сёнэнай,Нобутака Нисидзава Нобутака Нисидзава Кэнъити Маэдзима,,
Тёмный рыцарь (фильм),боевик триллер криминал неонуар драма супергероика Музыка к фильму,Кристофер Нолан Полнометражные Преследование Помни Бессонница Бэтмен Начало саундтрек англ Престиж Тёмный рыцарь саундтрек англ награды и номинации Начало саундтрек англ награды и номинации англ Тёмный рыцарь Возрождение легенды саундтрек англ награды и номинации англ Интерстеллар саундтрек англ награды и номинации Дюнкерк саундтрек англ награды и номинации англ Довод саундтрек англ награды и номинации англ Оппенгеймер саундтрек награды и номинации Одиссея Короткометражные Тарантелла Воровство Жукскакун Куэй ЗигЗаг Блэйд Троица Невидимый Нерождённый Вспомни что будет сериал  Демоны Да Винчи сериал ,США,2008
Рыбка по имени Нельзя,,Александр Ленкин,Беларусь,
Белые Росы. Возвращение,комедия,Александра Бутор,Белоруссия,2014
"
",романтическая комедия,Хироси Сасагава,,
"
",романтика повседневность,Мицуру Миура Мицуру Миура,,
"
",приключения научная фантастика меха,,,
"
",космическая опера приключения Патинко,Осаму Дэдзаки Осаму Дэдзаки Буити Тэрасава Кэньити Маэдзима Кэйдзо Симидзу Носитани Мицутака,,
Танец Лои Фуллер,документальный фильм,Уильям Диксон,США,1895
