film_title,genre,director,country,year
"Прометей (фильм, 2012)",научная фантастика ужасы,Ридли Скотт,США,2012
1 миля до тебя,драма мелодрама,Лейф Тильден,США,2017
Беатрис на ужине,комедия драма,Мигель Артета,США Канада,2017
Бахубали: Рождение легенды,фэнтези боевик,С С Раджамаули англ,Индия,2017
Батл-Крик (фильм),независимый кинематограф и романтический фильм,Элисон Иствуд,США,3 ноября 2017
Z — значит Захария,фантастика драма триллер,Крэйг Зобел,Швейцария США Исландия,2015
"Эбигейл (фильм, 2024)",комедия ужасов,Мэттью Беттинелли англ Тайлер Джиллетт англ,США,2024
Беспокойные года,Фильм нуар Мелодрама,Хельмут Койтнер,США,1958
Борьба со льдом,Драма Приключения,Петер Флинт,Исландия Дания,2022
Лили и море,драма экранизация,Динара Друкарова,Франция Исландия Россия Бельгия,2022
Белая пустошь,документальный фильм,Джеймс Алгар,США,1958
"Танцуй, танцуй",музыкальная мелодрама,Баббар Субхаш,Индия,1987
Дыра в голове,комедия драма,Фрэнк Капра,США,1959
"Жажда (фильм, 1959)",драма военный,Евгений Ташков,СССР,1959
Три дочери,комедия драма,Сатьяджит Рай Трилогия об Апу Песнь дороги Непокорённый Мир Апу Гупи и Багха Приключения Гупи и Багхи Королевство алмазов Трилогия о Калькутте Противник Компания с ограниченной ответственностью Посредник Фильмы о Фелуде Золотая крепость Слава отцу Фелунатху Другие фильмы Философский камень Музыкальная комната Богиня Три дочери Рабиндранат Тагор Канченджанга Поездка Большой город Чарулата Два Трус Святоша Герой Зверинец Дни и ночи в лесу Сикким Внутренним взором Отдалённый гром Бала Шахматисты Pikoor Diary Избавление Дом и мир Сукумар Рай Враг народа Ветви одного дерева Странник,Индия,1961
"Егерь (фильм, 1959)",новелла экранизация,Герман Ливанов,СССР,1959
"Сёрфер (фильм, 2024)",психологический триллер,mwparseroutput tsWikidataredLink abackgroundnonepaddingmwparseroutput tsWikidataredLink aexternalcolorbacolorvarcolorlinkredbamwparseroutput tsWikidataredLink aexternalvisitedcoloracolorvarcolorlinkredvisiteda Лоркан Финнеган вд,Австралия Ирландия,18 мая 2024
Всё начинается с дороги,мелодрама,Николай Досталь Виллен Азаров,СССР,1959
Сентябрь говорит,драматический фильм,Ариана Лабед,Греция Франция Великобритания Ирландия Германия,2024
"Незваные (фильм, 2023)",фолкхоррор вд,Джон Райт,Ирландия Великобритания,2023
Мистер Индия,драма фантастика комедия,Шекхар Капур,Индия,1987
Бедные-несчастные (фильм),стимпанк чёрная комедия сюрреализм,Йоргос Лантимос,США Великобритания Ирландия,2023
Родной ребёнок,драма семейный,Виджай Садана,Индия,1987
Флора и сын,комедийная драма и музыкальный фильм,Джон Карни вд,США Ирландия,2023
Настоящий друг,драма,Тофик Тагизаде,СССР Азербайджанская ССР,1959
