film_title,director
"Король Лир (фильм Джероламо Ло Савио, 1910)",Джероламо Ло Савио
Краснокожий и дитя,Дэвид Уорк Гриффит
Китайские тени,Сегундо де Шомон
El sartorio,неизвестен
Из-за денег,Дэвид Уорк Гриффит
Юный Пьеро,Сегундо де Шомон
Чай у консьержки,Луи Фейад
"Туннель под Ла-Маншем, или Франко-английский кошмар",Жорж Мельес
Всё начинается с дороги,Николай Досталь Виллен Азаров
Время остановилось,Эрманно Ольми
Ангел на земле,Геза фон Радваньи
"24 часа (фильм, 2000)",Александр Атанесян
13-й знак,Джонти ЭктонАдам Мэйсон
"Внезапно, прошлым летом (фильм)",Джозеф Манкевич
Электрический театр Боба,Сегундо де Шомон
22 мили,Питер Берг
Вечная жизнь Александра Христофорова,Евгений Шелякин
Вернуть Бена,Питер Хеджес
Дубликат (фильм),Билл Оливер
Душа компании,Бен Фальконе
Кикбоксер возвращается,Димитри Логофетис
Веном (фильм),Рубен Флейшер
Кармен и Лола,Аранча Эчеваррия
Карантин Z,Чи Кеонг Чанг
Королева мёртвых,Михаил Бонч-Томашевский
Загадочный мир,Евгений Бауэр
Железная пята (фильм),Владимир ГардинТамара ГлебоваАндрей ГорчилинЕвгений Иванов-БарковЛеонид ЛеонидовОльга Преображенская
"Гомункулус (фильм, 1916)",Отто Рипперт
"Вий (фильм, 1916)",Владислав Старевич
"Загон (фильм, 1961)",Арман Гатти
Содержание скотины,Нагиса Осима
Удел человеческий (фильм),Масаки КобаясиМасаки КобаясиМасаки КобаясиМасаки Кобаяси
"Телохранитель (фильм, 1961)",Акира Куросава
Осень в семье Кохаягава,Ясудзиро Одзу
Нулевой фокус,Ёситаро Номура
Китай в огне,"Николай Ходатаев, Юрий Меркулов, Зенон Комиссаренко"
"Мотра (фильм, 1961)",Исиро Хонда
"Миямото Мусаси (фильм, 1961)",Тому Утида
"Кто вы, доктор Зорге?",Ив Сиампи
Жильцы со второго этажа,Ёдзи Ямада
Жена сознаётся,Ясудзо Масумура
"Трус (фильм, 1961)",Иржи Вайс
"Соседи (фильм, 1952)",Норман Макларен
Алиса и укус пчелы,Уолт Дисней
"Ранняя весна (фильм, 1961)",Владимир Багна
"Ночной гость (фильм, 1961)",Отакар Вавра
Песня о сизом голубе,Станислав Барабаш
Где одного алиби мало,Владимир Чех
Весенний воздух,Ладислав Хелге
Баллада о трубе и облаке,Франце Штиглиц
"Барон Мюнхгаузен (фильм, 1961)",Карел Земан
Бесстрашный Жанно,Жан Имаж Чарльз Фрэнк (англоязычная версия)
Жутковатое приключение Алисы,Уолт Дисней
"Ведьма (фильм, 1916)",Александр ПантелеевГ. Богданов
В мире должна царить красота,Евгений Бауэр
Король и птица,Поль Гримо
Сквозь тусклое стекло,Ингмар Бергман
Капернаум (фильм),Надин Лабаки
Каникулы президента,Илья Шерстобитов
Как отмыть миллион,Дени Аркан
Как женить холостяка,Виктор Левин
Кадавр (фильм),Дидерик Ван Ружен
Как не стать президентом,Джейсон Райтман
Tom and Jerry in the Hollywood Bowl,Уильям Ханна  Джозеф Барбера
"Страна чудес Алисы (фильм, 1923)",Уолт Дисней
Texas Tom,Уильям Ханна  Джозеф Барбера
Крепыш (мультфильм),"Леонид Амальрик, Владимир Полковников"
Ventriloquist Cat,Текс Эвери
Saturday Evening Puss,Уильям Ханна  Джозеф Барбера
Little Quacker,Уильям Ханна  Джозеф Барбера
Safety Second,Уильям Ханна  Джозеф Барбера
"Золушка (мультфильм, 1950)",".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0}Уилфред ДжексонХэмилтон ЛаскКлайд Джероними"
