country,year
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
2006 год  — 2006 год,
3 декабря 2004 года  — 25 марта 2019 года,
,
,
,
,
,
,
2014 год  — настоящее время5 февраля 2013 года  — 18 ноября 2014 года,
,
,
,
,
1 сентября 2011 года  — 1 января 2015 года29 августа 2014 года  — настоящее время25 мая 2017 года  — настоящее время19 августа 2017 года  — настоящее время,
,
,
,
,
,
,
,
,
,
1986 год  — 1991 год,
,
,
1971 год  — 1986 год,
17 ноября 1988 года  — 5 апреля 1990 года,
,
24 сентября 1978 года  — 4 февраля 1987 года,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
1990 год  — 1996 год,
,
,
,
,
,
26 июня 2013 года  — настоящее время,
1984 год  — 1994 год,
,
,
1964 год  — 1967 год,
14 октября 1980 года  — 16 апреля 1987 года,
1988 год  — 1992 год,
,
28 апреля 1979 года  — 1987 год1998 год  — 2004 год2001 год  — 2007 год2004 год  — 2011 год,
1978 год  — 1997 год,
,
1989 год  — 1995 год,
,
1989 год  — 1993 год1993 год  — 1993 год,
1983 год  — 1985 год,
20 августа 1975 года  — 20 октября 1975 года,
,
28 декабря 1990 года  — 30 апреля 1991 года1991 год  — 1992 год1991 год  — 1993 год,
1972 год  — настоящее время,
,
,
1974 год  — настоящее время1991 год,
1985 год  — 1991 год,
1986 год  — 14 декабря 2017 годаноябрь 1991 — сентябрь 19969 июля 2013 года  — настоящее время,
,
,
,
,
,
5 августа 1987 года  — настоящее времяфевраль 1994 — апрель 1994июнь 2004 — январь 2004,
,
,
декабрь 1987 — октябрь 2002,
,
,
,
,
,
,
16 февраля 2022 года  — н. в.,
,
18 июня 2019 года  — настоящее время12 апреля 2020 года  — настоящее время,
16 сентября 2006 года  — настоящее время,
18 декабря 2014 года  — настоящее время22 февраля 2018 года  — настоящее время,
25 мая 2020 года  — настоящее время,
18 сентября 2012 года  — настоящее время17 января 2019 года  — 17 апреля 2021 года26 сентября 2020 года  — настоящее время17 февраля 2022 года  — настоящее время,
"12 января 1998 года  — 30 августа 1999 года12 февраля 2019 года  —, ??",
21 июля 2021 года  — настоящее время29 апреля 2022 года  — настоящее время,
27 февраля 2021 года  — настоящее время29 октября 2022 года  — настоящее время,
1 ноября 2014 года  — 18 ноября 2019 года6 марта 2018 года  — 26 февраля 2019 года19 июля 2021 года  — 10 июля 2023 года,
15 ноября 2019 года  — 17 октября 2023 года,
,
,
,
,
,
,
,
,
,
18 февраля 2019 года  — настоящее время,
14 марта 2022 года  — настоящее время,
,
,
,
30 июля 2012 года  — настоящее время26 ноября 2014 года  — настоящее время,
5 августа 2019 года  — настоящее время,
29 марта 2019 года  — настоящее время,
,
25 января 2021 года  — настоящее время16 июля 2021 года  — настоящее время,
6 апреля 2021 года  — настоящее время,
15 февраля 2014 года  — 15 сентября 2023 года,
4 апреля 2009 года  — настоящее время19 апреля 2013 года  — 3 апреля 2020 года,
