Название,Жанр,Продюссер,Страна,Год
Feeding Sea Lions,немое кино,,США,1900
Peeping Tom,драматический фильм комедия,,США,1897
Dancing Darkies,документальный фильм,Уильям К.Л. Диксон,США,1896
"Фауст и Маргарита (фильм, 1897)",фантастика,Жорж Мельес,Франция,1897
Clowns Spinning Hats,"немое кино  и  .mw-parser-output .ts-Wikidata-redLink a{background:none;padding:0}.mw-parser-output .ts-Wikidata-redLink a.external{color:#ba0000;color:var(--color-link-red,#ba0000)}.mw-parser-output .ts-Wikidata-redLink a.external:visited{color:#a55858;color:var(--color-link-red--visited,#a55858)} Фильм о цирке",неизвестно,США,1900
Ужасная ночь,"ужасы ,  комедия ,  короткометражка",Жорж Мельес,Франция,1896
Приветствие Диксона,Документальное кино,Уильям Диксон,США,1891
Сцена с кузнецами,".mw-parser-output .ts-Wikidata-redLink a{background:none;padding:0}.mw-parser-output .ts-Wikidata-redLink a.external{color:#ba0000;color:var(--color-link-red,#ba0000)}.mw-parser-output .ts-Wikidata-redLink a.external:visited{color:#a55858;color:var(--color-link-red--visited,#a55858)} документальная фантастика  ,  документальный фильм  и  немое кино",Уильям Диксон,США,1893
Салли Гарднер в галопе,,,,
"Человек, поворачивающий за угол",немое кино  и  документальный фильм,Луи Лепренс,Франция,1887
Сцена в саду Раундхэй,Документальное кино,Луи Лепренс,Англия,14 октября   1888
Ньюаркский атлет,Документальное кино,Уильям Диксон,США,1891
Лошадь и всадник прыгают через препятствие,учебный фильм,Оттомар Аншютц,Германская империя,1888
28 дней спустя,постапокалиптический   фильм ужасов  Музыка к фильму,Дэнни Бойл,Великобритания,2002
Возвращение в прошлое,боевик,Ранкадж Парашар,Индия,2002
Голубая волна,"фильм о спорте ,  драма",Джон Стоквелл,США,2002
Голливудский финал,комедия мелодрама,Вуди Аллен,США,2002
Годзилла против Мехагодзиллы 3,"фантастика ,  кайдзю",Масааки Тэдзука,Япония,2002  Годзилла  Годзилла (MonsterVerse)  Ангирус  Барагон  Баттра  Биолланте  Варан  Габара  Гайган  Горозавр  Зилла   Гэзора  Камоэбас  Камакурас  Кинг-Конг  Кинг Сизар  Кумонга  Магума  Малыш Годзилла  Манда  Мехагодзилла  Мегалон  Мегагирус  Меганулы  Минилла  Могера  Мотра  Титанозавр  Орга  Родан  Космо-Годзилла  Монстр X  Разрушитель  Шокилас  Годзиллазавр  Меха-Гидора  Джет Ягуар  Оодако  Оокондору  Ганимес  Хэдора  Чудовище Франкенштейна  ( Гайра  Санда )  ГННУС
"Говори мне о любви (фильм, 2002)",драма,Софи Марсо,Франция,2002
Говорящие с ветром,военный фильм драма,Джон Ву,США,2002
Рип просыпается,драма,Уильям Диксон,США,1896
Аватар 4,эпический фильм научная фантастика боевик приключения фэнтези,Джеймс Кэмерон Полнометражные  Пиранья 2: Нерест   (1981)  Чужие   (1986)  Бездна   (1989)  Правдивая ложь   (1994)  Титаник   (1997)  Терминатор  Терминатор   (1984)  Терминатор 2: Судный день   (1991)   Аватар   Аватар   (2009)  Аватар: Путь воды   (2022)  Аватар: Огонь и пепел   (2025)  Аватар 4   (2029)  Аватар 5   (2031)   Короткометражные  Ксеногенезис   (1978)  Т2 3-D: Битва сквозь время   (1996)  Документальные  Экспедиция «Бисмарк»    (2002)  Призраки бездны: «Титаник»   (2003)  Чужие из бездны    (2005),США,2029
Боги и генералы,драма,Рональд Ф. Максвелл,США,2003
Лабиринты (фильм),криминальный фильм драма триллер,Рене Манзор,Франция  Бельгия,2003
Кухонные байки,"комедия ,  драма",Бент Хамер,Норвегия  Швеция,2003
Кто убил Бэмби?,"триллер, драма",Жиль Маршан,Франция,2003
Кровавая резня,фильм ужасов,Роб Спера,США,2003
Крупная рыба,фантастическая   трагикомедия,Тим Бёртон,США,2003
Красное небо. Чёрный снег,драма,Валерий Огородников,Россия,2003
Кофе и сигареты (фильм),комедия драма,Джим Джармуш,США  Япония  Италия,2003
"Кот (фильм, 2003)",фэнтези комедия приключения семейный,Бо Уэлш,США,2003
Объятия змея,драма,Сиро Герра,Колумбия  Венесуэла  Аргентина,2015
Перелётные птицы (фильм),криминальная   драма,Кристина Гальего Сиро Гуэрра,Колумбия  Дания  Мексика  Германия  Швейцария  Франция,2018
"Подводное течение (фильм, 2009)",драма  /  мелодрама,Хавьер Фуэнтес-Леон,Перу      Германия      Франция      Колумбия,2009
33 (фильм),драма,Патрисия Ригген,США  Чили  Колумбия,2015
Крутящий момент (фильм),боевик,Джозеф Кан,США  Австралия,2003
Битва за Чили,документальный,Патрисио Гусман,Чили  Франция  Куба  Венесуэла,1975—1979
Нэчжа покоряет морского дракона,боевик  и  фэнтезийный фильм  рисованная,"Янь Дин-Сянь, Ван Шучэнь, Сюй Цзинда",Китай,1979
"Я тот, кто я есть (мультфильм)",комедийная драма,".mw-parser-output .ts-Wikidata-redLink a{background:none;padding:0}.mw-parser-output .ts-Wikidata-redLink a.external{color:#ba0000;color:var(--color-link-red,#ba0000)}.mw-parser-output .ts-Wikidata-redLink a.external:visited{color:#a55858;color:var(--color-link-red--visited,#a55858)} Haipeng Sun",Китай,17 декабря   2021
Бесстрашная гиена,боевик комедия,Джеки Чан  Бесстрашная гиена  (1979)  Молодой мастер  (1980)  Лорд дракон  (1982)  Проект А  (1983)  Полицейская история  (1985)  Доспехи Бога  (1986)  Проект А: Часть 2  (1987)  Полицейская история 2  (1988)  Чудеса  (1989)  Доспехи Бога 2: Операция Кондор  (1991)  Криминальная история  (1993)  Пьяный мастер 2  (1994)  Кто я?  (1998)  Падение последней империи  (2011)  Доспехи Бога 3: Миссия Зодиак  (2012),Гонконг,1979
Красный змей,"криминальный , боевик","Джино Танасеску , Сергей Воробьёв",Россия  Германия,2003
Кровавая жатва (фильм),слэшер,Александр Ажа,Франция,2003
Хорошего дня,чёрная комедия,Лю Цзянь,Китай,2017
Падение Луны,"научно-фантастический фильм ,  фильм-катастрофа  и  .mw-parser-output .ts-Wikidata-redLink a{background:none;padding:0}.mw-parser-output .ts-Wikidata-redLink a.external{color:#ba0000;color:var(--color-link-red,#ba0000)}.mw-parser-output .ts-Wikidata-redLink a.external:visited{color:#a55858;color:var(--color-link-red--visited,#a55858)} апокалиптический фильм",Роланд Эммерих,США  Китай  Великобритания  Канада,2022
Пёс-самурай и город кошек,мультфильм комедия боевик семейный  компьютерная,Роб Минкофф Марк Коэтсер,США  Китай  Великобритания  Канада  Польша,2022
Кровоточащая сталь,фантастика боевик триллер,Чжан Лицзя,Китай,2017
"Иностранец (фильм, 2017)",боевик триллер,Мартин Кэмпбелл,Великобритания  Китай,2017
Доспехи бога: В поисках сокровищ,приключенческий фильм комедия боевик детектив,Стэнли Тонг,Китай,2017
Основание армии (2017),"военный фильм  ,  исторический фильм   и  драматический фильм",".mw-parser-output .ts-Wikidata-redLink a{background:none;padding:0}.mw-parser-output .ts-Wikidata-redLink a.external{color:#ba0000;color:var(--color-link-red,#ba0000)}.mw-parser-output .ts-Wikidata-redLink a.external:visited{color:#a55858;color:var(--color-link-red--visited,#a55858)} Эндрю Лю",Китай,27 июля   2017
Возвращение в прах,драма,Ли Жуйцзюнь,Китай,2022
Война волков 2,боевик,Джеки Ву,Китай,2017
Китайский продавец,боевик,Тань Бин,Китай,2017
Статус: Обновлён,комедия,Скотт Спир,США  Канада  Китай,2018
Следующее поколение,фантастика приключения драма  Компьютерная анимация,Кевин Р. Адамс Джо Ксандер,США  Канада  Китай,2018
"Бои без правил (фильм, 2017)",криминал триллер драма биография спорт,Жан-Стефан Совер,США  Великобритания  Франция  Германия  Китай  Камбоджа,2017
Папа-мама гусь,приключенческий фильм  компьютерная,Крис Дженкинс,США  Китай,2018
Охотник на монстров,фэнтези боевик триллер,Пол Андерсон,США  Германия  Япония  Китай,2020
"Тень (фильм, 2018)",драма боевик,Чжан Имоу,Китай,2018
Слон сидит спокойно,Драма,Ху Бо,Китай,2018
"Бомбардировка (фильм, 2018)",военный фильм     драма,Сяо Фэн,Китай,2018
Мег: Монстр глубины,научно-фантастический     ужасы,Джон Тёртелтауб,США  Китай,"10 августа   2018 ,  30 августа   2018  ,  22 августа   2018  и  9 августа   2018"
Джинпа,притча,Пема Цеден,Китай,2018
Эверест (мультфильм),"боевик ,  фэнтези ,  приключения ,  комедия  компьютерная",Джилл Калтон,США  Китай,27 сентября 2019
Мастер Z: Наследие Ип Мана,боевик биографический фильм криминальный фильм,"Юнь Вопхин  Змея в тени орла  (1978)  Пьяный мастер  (1978)  Великолепный мясник  (1979)  Танец пьяного богомола  (1979)  Кулак буддиста  (1980)  Дредноут  (1981)  Магические бойцы  (1982)  Легенда о бойце  (1982)  Шаолиньский пьяница  (1983)  Пьяный тайцзи  (1984)  Странные парочки  (1985)  Близкая встреча с вампиром  (1986)  При исполнении 4: Свидетель  (1989)  Клетка тигра  (1988)  Клетка тигра 2  (1990)  Клетка тигра 3  (1991)  Железная обезьяна  (1993)  Два воина  (1993)  Герои среди героев  (1993)  Огненный дракон  (1994)  Вин Чунь  (1994)  Красный волк  (1995)  Мастер тайцзи 2  (1996)  Настоящая легенда  (2010)  Крадущийся тигр, затаившийся дракон: Меч судьбы  (2016)  Тысяча лиц Дуньцзя  (2017)  Мастер Z: Наследие Ип Мана  (2018)  Септет: История Гонконга  (2020)",Гонконг  Китай,2018
Тайна печати дракона,фэнтезийно - приключенческий боевик,Олег Степченко,Россия  Китай,2019
Стражи Арктики,кинокомедия  компьютерная анимация,Аарон Вудли,Канада  Великобритания  Республика Корея  США  Индия  Китай  Япония,2019
Снегоуборщик (фильм),"чёрная комедия ,  триллер ,  боевик",Ханс Петтер Муланд,Великобритания  США  Франция  Китай   Норвегия  Канада,2019
Песня Линшуй,мелодрама,"Андрей Мышкин,  Цзян Лю",Россия  /    Китай,2018
