title,ganre,director,country,year
Элизиум — рай не на Земле,,Нил Бломкамп,,2013
Человек из стали,,Зак Снайдер,,2013
Генерал Делла Ровере,,Роберто Росселлини,,1959
Анатомия убийства,,Отто Премингер,,1959
"Ганнибал (фильм, 1959)",,"Карло Людовико Брагаглиа,Эдгар Г. Улмер",,1959
Гиджет (фильм),,,,
"Всё самое лучшее (фильм, 1959)",,Жан Негулеско,,
Высота Порк Чоп Хилл,,"Льюис Майлстоун,Грегори Пек",,
"Беатриче Ченчи (фильм, 1956)",,,,
Дело № 306,,Анатолий Рыбаков,,1956
Дело пилота Мареша,,Леонард Бучковский,,1956
Всё начинается с дороги,,"Николай Досталь,Виллен Азаров",,1959
Зелёные поместья,,,,
Баши-Ачук (фильм),,Лео Эсакия,,1956
"Башня (фильм, 1928)",,Рене Клер,,1928
Раковина и священник,,Жермен Дюлак,,1928
Страсти Жанны д’Арк,,Карл Теодор Дрейер,,1928
"Турнир (фильм, 1928)",,,,
"Падение дома Ашеров (фильм, 1928, Франция)",,Жан Эпштейн,,1928
Морская звезда (фильм),,Ман Рэй,,1928
Урок любви,,Ингмар Бергман,,1954
Управляющий Сансё,,Кэндзи Мидзогути,,1954
Тайны Востока,,Александр Волков,,1928
Рига (дубль 1),,Зигфрид,,2017
Семь самураев,,Акира Куросава,,1954
Элисо (фильм),,Николай Шенгелая,,1928
Хромой барин (фильм),,Константин Эггерт,,
Улица без солнца,,Сацуо Ямамото,,
Три любви,,Масаки Кобаяси,,
Твоё имя. Часть III,,Хидэо Ооба,,
"Третья молодость (фильм, 1928)",,Владимир Шмидтгоф,,1928
Швейк в русском плену,,Сватоплук Иннеманн,,1927
Школа отцов,,Ладислав Хельге,,1957
Швейк на фронте,,Карел Стеклы,,1957
Удивительное воскресенье,,Ченек Дуба,,1957
Египтянин (фильм),,Майкл Кертис,,1954
"Звезда родилась (фильм, 1954)",,Джордж Кьюкор,,
"Другая женщина (фильм, 1954)",,Гуго Гаас,,1954
"Чёрная река (фильм, 1957)",,Масаки Кобаяси,,
Я жду,,Корэёси Курахара,,
Человеческое желание (фильм),,Фриц Ланг,,1954
Щит для убийства,,"Эдмонд О’Брайен,Говард У. Кох",,1954
"Шанхайская история (фильм, 1954)",,Фрэнк Ллойд,,1954
Чёрный вторник (фильм),,Уго Фрегонезе,,1954
"Царь царей (фильм, 1927)",,Сесил Б. Демилль,,
Молодые орлы (фильм),,,,
Чанг: Драма в глуши,,,,
"Соррел и сын (фильм, 1927)",,,,
Частная жизнь Елены Троянской,,,,
"Седьмое небо (фильм, 1927)",,,,
"Подполье (фильм, 1927)",,,,
Ночь любви,,Джордж Фицморис,,
Принц-студент в Старом Гейдельберге,,,,
Певец джаза,,Алан Кросланд,,1927
"Неизвестный (фильм, 1927)",,Тод Браунинг,,1927
Это (фильм),,Кларенс Баджер,,1927
Лакированный парень,,,,
Лондон после полуночи,,Тод Браунинг,,1927
"Младший брат (фильм, 1927)",,"Тэд Вильде,Гарольд Ллойд,Льюис Майлстоун",,1927
"Крылья (фильм, 1927)",,Уильям Уэллман,,1927
Красная мельница (фильм),,,,1927
Моя любимая девушка,,Сэм Тейлор,,1927
Корабль приплывает,,,,
"Любовь (фильм, 1927)",,Эдмунд Гулдинг,,1927
"Кот и канарейка (фильм, 1927)",,Пауль Лени,,1927
"Капризная, но хорошенькая",,,,
Дьявольская танцовщица,,,,
"Колледж (фильм, 1927)",,"Джеймс Хорн,Бастер Китон",,1927
Хула (фильм),,Виктор Флеминг,,1927
Два аравийских рыцаря,,Льюис Майлстоун,,
"Гаучо (фильм, 1927)",,Ф. Ричард Джонс,,
Голубь (фильм),,,,
Волшебное пламя,,,,
Восход солнца (фильм),,Фридрих Вильгельм Мурнау,,1927
Человек с золотой рукой,,Отто Премингер,,
"Чёрная вдова (фильм, 1954)",,Наннэлли Джонсон,,
Убийцы из космоса,,Уильям Уайлдер,,
Тварь из Чёрной Лагуны,,Джек Арнольд,,
Тайна инков,,Джерри Хоппер,,
Сломанное копьё,,Эдвард Дмитрык,,
Длинные штаны,,Фрэнк Капра,,1927
Семь невест для семерых братьев,,Стэнли Донен,,1954
Серебряная жила,,Аллан Двон,,1954
Светлое Рождество (фильм),,Майкл Кёртис,,1954
Свидетель убийства,,Рой Роулэнд,,1954
Рапсодия (фильм),,Чарльз Видор,,
"Сабрина (фильм, 1954)",,Билли Уайлдер,,
Река не течёт вспять,,Отто Преминджер,,1954
Полицейский-мошенник,,Рой Роулэнд,,1954
Пол-акра ада,,Джон Х. Ауэр,,1954
Поездка по кривой дороге,,Ричард Куайн,,1954
Очевидное алиби,,Джерри Хоппер,,
Облава на шоссе,,Натан Юран,,
Окно во двор,,,,1954
"Нет лучше бизнеса, чем шоу-бизнес",,Уолтер Лэнг,,1954
Неожиданный (фильм),,Льюис Аллен,,
На трёх тёмных улицах,,Арнольд Лейвен,,
Непобеждённая (фильм),,Нэнси Гамильтон,,1954
Лёгкая добыча,,Ричард Куайн,,1954
Личный ад 36,,Дон Сигел,,1954
Казино «Рояль» (Climax!),,Уильям Браун-младший,,1954
Крик о мщении,,Марк Стивенс,,1954
"Лазейка (фильм, 1954)",,Гарольд Д. Шустер,,1954
Королева скота из Монтаны,,Аллан Двон,,
Долгое ожидание,,Виктор Сэвилл,,1954
Долговязый Джон Сильвер (фильм),,Байрон Хэскин,,1954
"Длинный, длинный трейлер",,Винсент Миннелли,,
"Глубокое синее море (фильм, 1954)",,Джулиана Эми,,1954
Деметрий и гладиаторы,,Делмер Дэйвс,,
Далёкий край,,Энтони Манн,,
Деревенская девушка,,Джордж Ситон,,1954
Глубоко в моём сердце,,,,
"Волна преступности (фильм, 1954)",,Андре Де Тот,,
Бунт на «Кейне»,,Эдвард Дмитрык,,1954
В случае убийства набирайте «М»,,Альфред Хичкок,,1954
В порту,,Элиа Казан,,1954
Бунт в тюремном блоке № 11,,Дон Сигел,,1954
Джонни Гитара,,Николас Рэй,,1954
Бригадун (фильм),,Винсент Миннелли,,1954
Административная власть,,Роберт Уайз,,
"Соломенная шляпка (фильм, 1927)",,Рене Клер,,1927
Босоногая графиня,,Джозеф Манкевич,,1954
Веракрус (фильм),,Роберт Олдрич,,1954
"20 000 лье под водой (фильм, 1954)",,Ричард Флейшер,,1954
"Наполеон (фильм, 1927)",,Абель Ганс,,1927
Маркитта,,,,
Эрос (фильм),,"Вонг Карвай,Стивен Содерберг,Микеланджело Антониони",,2004
Малена (фильм),,,,2000
"Пробуждение (фильм, 1954)",,Майкл МакКарти,,1954
Токийские сумерки,,Ясудзиро Одзу,,1957
Трон в крови,,Акира Куросава,,
Третья жена муллы,,"Вячеслав Висковский,Юрий Музыкант",,1928
Тайфун над Нагасаки,,,,
"Саламандра (фильм, 1928)",,"Григорий Рошаль,Михаил Доллер",,1928
Добыча ветра,,Рене Клер,,1927
Ураганный барабанщик,,Умэцугу Иноуэ,,
"Право на жизнь (фильм, 1928)",,Павел Петров-Бытов,,1928
Пять в яблочко,,Патвакан Бархударян,,1928
"Прокажённая (фильм, 1928)",,Олег Фрелих,,1928
Проданный аппетит,,Николай Охлопков,,1928
Провокатор (фильм),,Виктор Турин,,1928
Солнце в последние дни сёгуната,,Юдзо Кавасима,,
Пленники моря,,Михаил Вернер,,
Потомок Чингисхана,,Всеволод Пудовкин,,1928
Венгерская рапсодия (1928),,,,
Хлеб в траве,,Клод Отан-Лара,,1954
Французский канкан,,Жан Ренуар,,1954
Такие разные судьбы,,Анри Верней,,1954
Тайна Элен Маримон,,,,1954
Феодора (фильм),,Риккардо Фреда,,1954
Mice Follies,,"Джозеф Барбера,Уильям Ханна",,
"Touché, Pussy Cat!",,"Уильям Ханна,Джозеф Барбера",,
Bewitched Bunny,,Чак Джонс,,
Служебная лестница (фильм),,,,
Перед потопом (фильм),,,,
"Папа, мама, служанка и я",,Жан-Поль ле Шануа,,1954
Мужчины думают только об этом,,Ив Робер,,1954
Месье Рипуа,,Рене Клеман,,1954
Мадемуазель Нитуш (фильм),,,,1954
"Королева Марго (фильм, 1954)",,Жан Древиль,,1954
Интриганки,,Анри Декуэн,,1954
Воздух Парижа,,,,
"За закрытыми дверями (фильм, 1954)",,Жаклин Одри,,
"Дьяволицы (фильм, 1954)",,Анри-Жорж Клузо,,1954
"Береника (фильм, 1954)",,Эрик Ромер,,1954
"Визит (фильм, 1954)",,Франсуа Трюффо,,
Дни любви,,Джузеппе Де Сантис,,1954
Ян Гус (фильм),,Отакар Вавра,,1954
Жил-был король,,Борживой Земан,,1954
"Безумцы (фильм, 1928)",,Леонард Бучковский,,1928
"Переполох (фильм, 1928)",,Александр Левшин,,1928
Октябрюхов и Декабрюхов,,"Алексей Смирнов,Александра Смирнова-Искандер",,1928
"Пан Тадеуш (фильм, 1928)",,Рышард Ордыньский,,1928
Первый корнет Стрешнев,,"Ефим Дзиган,Михаил Чиаурели",,1928
"Канун весны (фильм, 1928)",,Генрик Шаро,,1928
Октябрь (фильм),,"Сергей Эйзенштейн,Григорий Александров",,
Ночной извозчик,,Георгий Тасин,,1928
"Мятеж (фильм, 1928)",,Семён Тимошенко,,1928
Мари-Кужэр,,Борис Шелонцев,,1928
Мой сын,,Евгений Червяков,,1928
Луна слева,,Александр Иванов,,1928
Ледяной дом (фильм),,Константин Эггерт,,
Кукла с миллионами (фильм),,Сергей Комаров,,1928
Кузня Уть,,Евгений Петров,,1928
Каторга (фильм),,,,1928
"Казаки (фильм, 1928, СССР)",,Владимир Барский,,1928
Замаллу,,Иван Перестиани,,1928
Кастусь Калиновский (фильм),,Владимир Гардин,,1928
Дом на Трубной,,Борис Барнет,,1928
Дом на вулкане,,Амо Бек-Назарян,,1928
Золотой клюв,,Евгений Червяков,,1928
Джимми Хиггинс (фильм),,Георгий Тасин,,1928
Дом в сугробах,,Фридрих Эрмлер,,1928
Два броневика,,Семён Тимошенко,,1928
"Цирк (фильм, 1928)",,Чарльз Чаплин,,1928
"Белый орёл (фильм, 1928)",,Яков Протазанов,,1928
"Джанки (фильм, 1928)",,Александр Цуцунава,,1928
Ванька и «Мститель»,,Аксель Лундин,,1928
"Четыре дьявола (фильм, 1928)",,Фридрих Вильгельм Мурнау,,1928
Три уикенда,,Кларенс Баджер,,
Славная Бетси,,,,
"Смейся, клоун, смейся",,Герберт Бренон,,1928
"Уличный ангел (фильм, 1928)",,,,
Толпа (фильм),,,,
Террор (фильм),,,,
Свадебный марш (фильм),,Эрих фон Штрогейм,,1928
Сэди Томпсон,,,,
"Рэкет (фильм, 1928)",,,,
Пристани Нью-Йорка,,Джозеф фон Штернберг,,
"Рыжая (фильм, 1928)",,Кларенс Баджер,,1928
Патси (фильм),,Кинг Видор,,1928
"Падение дома Ашеров (фильм, 1928, США)",,Джеймс Сибли Уотсон,,1928
Пароходный Билл — младший,,"Чарльз Рейснер,Бастер Китон",,1928
Последний приказ,,Джозеф фон Штернберг,,
"Патриот (фильм, 1928)",,,,1928
"Ноев ковчег (фильм, 1928)",,Майкл Кёртис,,1928
Наши танцующие дочери,,,,1928
Леди мафии,,Уильям Уэллман,,1928
Легион осуждённых,,,,
Люди искусства,,Кинг Видор,,1928
Как обращаться с женщинами,,,,1928
Королева Келли,,Эрих фон Штрогейм,,
Кинооператор (фильм),,"Эдвард Седжвик,Бастер Китон",,1928
Приключения китайчат,,Мария Бендерская,,
Грозный Вавила и тётка Арина,,"Николай,Ольга Ходатаевы",,
Идол дневных спектаклей,,Фрэнк Капра,,1928
Игра в привидение,,,,1928
"Западня (фильм, 1928)",,,,
Женщина дела,,,,
"Казаки (фильм, 1928, США)",,Кларенс Браун,,1928
"Гонщик (фильм, 1928)",,Тэд Вильде,,1928
"Ветер (фильм, 1928)",,Виктор Шёстрём,,1928
Власть прессы,,,,1928
"Буря (фильм, 1928, США)",,"Льюис Майлстоун,Виктор Туржанский",,1928
Божественная женщина,,Виктор Шёстрём,,1928
Безмолвный свидетель (фильм),,,,
Естественный свет,,Денеш Надь,,2021
Самурай: Путь воина,,Хироси Инагаки,,1954
"На исходе дня (фильм, 1954)",,Сацуо Ямамото,,
Поздние хризантемы,,Микио Нарусэ,,
"Золотой демон (фильм, 1954)",,Кодзи Сима,,
Двенадцать пар глаз,,Кэйсукэ Киносита,,1954
Гостиница в Осаке,,Хэйноскэ Госё,,1954
"Канава (фильм, 1954)",,Канэто Синдо,,
"Орден (фильм, 1954)",,Минору Сибуя,,
"Годзилла (фильм, 1954)",,Исиро Хонда,,1954
"Огонёк (фильм, 1954)",,Миёдзи Иэки,,
Тюсингура: Правдивая история,,Сёдзо Макино,,
"Перекрёсток (фильм, 1928)",,Тэйноскэ Кинугаса,,1928
Деревенская невеста,,Хэйноскэ Госё,,1928
Лодырь (фильм),,,,1928
"Деньги (фильм, 1928)",,,,
Пионер Ваня,,Виктор Григорьев,,
Самоедский мальчик,,"Н.,О. Ходатаевы,В.,З. Брумберг",,
Двое робких,,Рене Клер,,1928
Девочка со спичками (фильм),,"Жан Ренуар,Жан Тедеско",,1928
Сенька-африканец,,"Даниил Черкес,Иван Иванов-Вано,Юрий Меркулов",,
Тип-Топ в Москве,,Александр Иванов,,
Галопом на страусе,,Аб Айверкс,,
Я встретил девушку,,Рафаил Перельштейн,,1957
Я скажу правду,,Леван Хотивари,,1957
Любовь Жанны Ней (фильм),,Георг Пабст,,1927
Берлин — симфония большого города,,Вальтер Руттман,,1927
"Ринг (фильм, 1927)",,Альфред Хичкок,,1927
"По наклонной (фильм, 1927)",,Альфред Хичкок,,
"Жилец (фильм, 1927)",,Альфред Хичкок,,
Зов моря,,Генрик Шаро,,1927
Штепсель женит Тарапуньку,,"Е. Березин,Ю. Тимошенко",,1957
Я живу в страхе,,Акира Куросава,,1955
Человек в коротких штанишках (фильм),,,,1957
The Enemy Below,,,,1957
Тайная разведка,,Лу Юй,,
"Снежный человек (фильм, 1957)",,Вэл Гест,,
Через Париж,,Клод Отан-Лара,,1956
"Шельменко-денщик (фильм, 1957)",,Виктор Иванов,,1957
