title,genre
50 оттенков голубого,драма
20 сантиметров,"комедия,мюзикл"
18-летняя девственница,комедия
Безымянная — одна женщина в Берлине,драма
Берлин зовёт,Трагикомедия
13-я жертва,ужасы
В пролёте,"комедия,мелодрама,драма,романтическая комедия,комедийная драма"
Вавилон нашей эры,"фантастический,боевик,киберпанк,антиутопия"
Белая медведица,драма
Американское общество негров-волшебников,комедия
В руке Данте,драматический фильм
Американская звезда,фильм-триллер
В поисках Адама,Драма
В баню!,
Горная невеста,драматический фильм
В поисках зверя,"вестерн,драматический фильм,экранизация романа"
Горизонты (серия фильмов),вестерн
Горизонты: Часть первая,вестерн
130 детей,"документальный фильм,1"
101 Рейс,биография
Вальсируя с Брандо,биографический фильм
13 изгнаний дьявола,фильм ужасов
"Любовники (фильм, 2022)",комедия
Код 355,"экшен-триллер,боевик,шпионский фильм,girls with guns"
Лучшие в аду,"военный,боевик"
"Жертвоприношение (фильм, 1986)","драма,мистика"
Благословенные,драма
Лулу и Бриггс,"комедийная драма,роуд-муви"
Лицо памяти,драма
Манон с источника (фильм),драма
Либерея: Охотники за сокровищами,"приключения,боевик"
Душитель против душителя,"ужасы,триллер,комедия"
"Колыбельная (фильм, 1986)",драма
"Роня, дочь разбойника (фильм)","фэнтезийный фильм,драматический фильм,экранизация романа"
Лили и море,
Диагональ слона,
Три ветерана,"сказка,фантастика"
"Солнце, сено, ягоды",комедия
TPB AFK,Документальный
Лето 1941 года,
Элитное общество,"криминальная,драма"
Токийская семья,драма
Танец реальности,"драма,биография,фэнтези"
,"драма,повседневность"
"Магия, магия","драма,триллер"
Ложная память (фильм),научно-фантастический фильм
Ер Тостик и Айдахар,
РЭД 2,"боевик,комедия"
Фиш и Чип. Вредные друзья,"приключения,комедия"
"Пугало (фильм, 2013)",ужасы
Рога (фильм),"тёмное фэнтези,кинокомедия,драма,ужасы"
Том на ферме,"драма,триллер"
Уроки гармонии,драма
Нападение на Уолл-стрит,"боевик,1,2,[…],драматический фильм,криминальный фильм"
"Сглазили! (фильм, 2013)","комедия,семейный,фэнтези,фарс"
"Мама (фильм, 2013)","ужасы,триллер,драма"
Невероятное путешествие мистера Спивета,"приключения,драма,семейный"
Кристал Фэйри и волшебный кактус и 2012,"мелодрама,комедия,приключения"
Никки Туз,семейный фильм
"Майна (фильм, 2013)","драма,приключения,исторический"
"Колония (фильм, 2013)","научно-фантастический фильм,фильм ужасов,постапокалиптический фильм,антиутопический фильм"
Жуткие 13,Фильм ужасов
Геронтофилия (фильм),мелодрама
Жапплу,"драматический фильм,3"
"Объятия вампира (фильм, 2013)","драма,ужасы,эротика"
Дружба и никакого секса?,
"Габриэль (фильм, 2013)","драма,мелодрама"
"Маленькое привидение (фильм, 2013)","фэнтезийный фильм,детский фильм,семейный фильм"
"Враг (фильм, 2013)","детектив,психологический триллер,драма"
Ночной поезд до Лиссабона (фильм),музыка к фильму
"Мария — королева Шотландии (фильм, 2013)",
"Ромео и Джульетта (фильм, 2013)",романтическая драма
"Глория (фильм, 2013)",драма
Любовь — это идеальное преступление,драматический фильм
Проклятье 3D 2,"фильм ужасов,1,японский хоррор,экранизация романа"
Прикосновение греха,драма
Почему ты не играешь в аду?,Боевик
"Каков отец, таков и сын (фильм, 2013)",драма
Необычный человек,драматический фильм
Ветер крепчает,"драма,исторический,биография"
"Столетний старик, который вылез в окно и исчез","чёрная,трагикомедия,приключения"
Путешествуя по сети ненависти,документальный фильм
"Первопроходец (фильм, 2013)",триллер
Армагеддец,"научно-фантастическая комедия,Альтернативный рок,инди-рок,мэдчестер,альтернативная танцевальная музыка,брит-поп,психоделический рок,данс-поп"
Мистериум. Начало,"детективный,триллер"
Диана: История любви,"биографическая,драма"
"Лев Толстой (фильм, 1984)",драма
Конец одиночества фермы Берхоф,
Полёт ворона,исторический фильм
Миссия ниндзя,"боевик,драма"
Мы — лучшие!,"история взросления,драматический фильм"
Ламборгини: Человек-легенда,"биографический фильм,драма"
"Лесной разбойник (фильм, 2022)","фэнтезийный фильм,приключенческий фильм,детский фильм,комедия,семейный фильм"
Легенды «Орлёнка»,"фэнтези,комедия,приключения,семейный"
Кусочек неба,драма
Лавстори (фильм),"романтическая комедия,роуд-муви"
Кукла. Зарождение зла,ужасы
"Красная Шапочка (фильм, 2022)","фэнтези,приключения,семейный"
Костюм (фильм),"криминал,драма"
Кто там?,триллер
Крепость 2: Глаз снайпера,"боевик,триллер"
"Крик (фильм, 2022)",слэшер
После репетиции,драма
Королевы династии Цин,драма
Король-львёнок,"семейный фильм,приключенческий фильм"
Королева-воин,"эпический фильм,драматический фильм,1,исторический фильм,1,боевик,1"
Корабль в Пусан,"боевик,1,криминальный фильм,1,фильм ужасов,2,1,научно-фантастический фильм,1"
Корсаж (фильм),"драматический фильм,1,биографический фильм,1,исторический фильм,1"
"Кома (фильм, 2022)",драма
Колено Ахед,драма
"Клондайк (фильм, 2022)",драма
Когда ты закончишь спасать мир,комедийная драма
Клинок 47 ронинов,"фэнтези,боевик,драма"
